epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5645,2.29087,3.74442,1.6233,0.90533,0.09088,0.32253,0.12414,2.14812,2.91675,1.53869,0.0822,0.00197778,0.00197778
2,88.5012,2.19513,2.45514,1.61354,0.64173,0.41868,0.43864,0.16982,2.24284,2.12035,1.71549,0.0641996,0.00397735,0.00397735
3,131.656,2.22222,2.22707,1.65227,0.55117,0.49949,0.50529,0.2103,2.15968,2.06861,1.64277,0.0461974,0.00597518,0.00597518
4,173.179,2.21434,2.11295,1.63946,0.21751,0.33387,0.18816,0.06377,2.45807,3.27739,1.71249,0.0281922,0.00796999,0.00796999
5,214.388,2.27403,2.31681,1.72678,0.46993,0.20244,0.12815,0.04856,2.51752,3.9381,1.8846,0.0101827,0.00996046,0.00996046
6,255.521,2.26896,2.26863,1.76858,0.49405,0.30273,0.29951,0.1123,2.42377,2.29961,1.90906,0.00997288,0.00997288,0.00997288
7,297.286,2.34592,2.20131,1.77062,0.587,0.28892,0.29298,0.10663,2.41209,2.27272,1.83404,0.00996097,0.00996097,0.00996097
8,338.959,2.32544,2.18942,1.76564,0.25694,0.16819,0.16033,0.07151,2.5601,25.1058,2.16005,0.0099469,0.0099469,0.0099469
9,380.745,2.30156,2.08947,1.77334,0.25599,0.38281,0.20608,0.06339,2.49213,2.92677,1.85555,0.00993068,0.00993068,0.00993068
10,422.766,2.31069,2.03483,1.77277,0.61291,0.42735,0.41458,0.15915,2.30493,1.91363,1.77392,0.00991232,0.00991232,0.00991232
11,465.128,2.25347,2.01432,1.7699,0.52857,0.41299,0.40333,0.16851,2.22561,1.85074,1.75646,0.00989183,0.00989183,0.00989183
12,507.616,2.23625,1.99421,1.74126,0.6554,0.27473,0.33747,0.13716,2.31255,2.33782,1.79417,0.00986922,0.00986922,0.00986922
13,549.455,2.23131,1.8848,1.73477,0.64289,0.34006,0.43067,0.17821,2.2509,1.74613,1.75381,0.00984449,0.00984449,0.00984449
14,591.651,2.178,1.87567,1.72078,0.5436,0.41288,0.45142,0.18003,2.20402,1.69869,1.8032,0.00981765,0.00981765,0.00981765
15,633.985,2.22062,1.85492,1.73125,0.54566,0.42394,0.43754,0.17452,2.20544,1.80148,1.69589,0.00978873,0.00978873,0.00978873
16,676.434,2.2153,1.81715,1.70899,0.54527,0.45032,0.42646,0.17481,2.24944,1.85181,1.73001,0.00975773,0.00975773,0.00975773
17,718.882,2.24362,1.83154,1.7279,0.59556,0.4491,0.49165,0.20991,2.28966,1.83682,1.73354,0.00972466,0.00972466,0.00972466
18,761.35,2.19514,1.79366,1.69053,0.71726,0.44236,0.5373,0.23044,2.20329,1.66784,1.72058,0.00968955,0.00968955,0.00968955
19,803.327,2.14851,1.72094,1.68835,0.64447,0.49383,0.55491,0.23446,2.13437,1.64102,1.6935,0.00965239,0.00965239,0.00965239
20,845.514,2.14589,1.72417,1.67726,0.68537,0.50171,0.55359,0.24963,2.11804,1.55855,1.65213,0.00961322,0.00961322,0.00961322
