epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.829,2.26992,3.94603,1.58437,0.00299,0.89527,0.23067,0.10357,2.10864,3.23872,1.62197,0.000547729,0.000547729,0.000547729
2,20.221,2.26185,2.92614,1.64422,0.65319,0.3519,0.39624,0.16605,2.24273,2.44221,1.84921,0.00109611,0.00109611,0.00109611
3,29.3361,2.34074,2.68883,1.72102,0.38814,0.36769,0.25518,0.09723,2.47498,2.82158,2.10018,0.00163716,0.00163716,0.00163716
4,38.3415,2.31128,2.40337,1.70766,0.57243,0.38964,0.41734,0.1893,2.34196,3.67989,2.0118,0.00163399,0.00163399,0.00163399
5,47.3294,2.29675,2.12311,1.72202,0.51775,0.32098,0.30605,0.12074,2.30749,2.56773,1.90331,0.00162299,0.00162299,0.00162299
6,56.3332,2.26633,2.03001,1.74297,0.6006,0.4143,0.4329,0.17921,2.27971,1.91115,1.85021,0.00161199,0.00161199,0.00161199
7,65.4032,2.27563,1.9589,1.73992,0.43062,0.44071,0.43573,0.21993,2.34582,2.17904,1.88773,0.00160099,0.00160099,0.00160099
8,74.3805,2.20524,1.85228,1.67495,0.59804,0.46352,0.5198,0.18511,2.38487,1.99792,1.87959,0.00158998,0.00158998,0.00158998
9,83.3566,2.20231,1.82947,1.66595,0.75514,0.37848,0.45936,0.20941,2.24109,1.96079,1.78217,0.00157898,0.00157898,0.00157898
10,92.327,2.15824,1.79324,1.65317,0.5404,0.44554,0.39173,0.1898,2.2928,1.92851,1.7928,0.00156798,0.00156798,0.00156798
11,101.34,2.16432,1.75931,1.66564,0.52809,0.45263,0.46098,0.2176,2.23837,2.00858,1.91247,0.00155698,0.00155698,0.00155698
12,110.451,2.14123,1.69301,1.62834,0.76306,0.42741,0.50642,0.22085,2.28187,1.73357,1.85163,0.00154598,0.00154598,0.00154598
13,119.487,2.1297,1.66092,1.60508,0.49269,0.34457,0.39209,0.17321,2.27675,2.22749,1.80299,0.00153497,0.00153497,0.00153497
14,128.511,2.12344,1.65067,1.60078,0.70406,0.42768,0.47928,0.20548,2.2868,1.97272,1.8061,0.00152397,0.00152397,0.00152397
15,137.548,2.14184,1.59252,1.6042,0.50813,0.53487,0.53298,0.26572,2.1783,1.94866,1.7706,0.00151297,0.00151297,0.00151297
16,146.494,2.04264,1.53415,1.56594,0.65587,0.52116,0.58456,0.25817,2.20293,1.65428,1.75837,0.00150197,0.00150197,0.00150197
17,155.521,2.07025,1.52553,1.55574,0.57334,0.45652,0.52234,0.24962,2.17918,1.76406,1.75151,0.00149096,0.00149096,0.00149096
18,164.456,2.06929,1.52323,1.5982,0.61592,0.48107,0.46531,0.20571,2.19957,1.67378,1.77868,0.00147996,0.00147996,0.00147996
19,173.458,2.07298,1.50796,1.56776,0.64663,0.60017,0.6026,0.27899,2.17715,1.57982,1.74558,0.00146896,0.00146896,0.00146896
20,182.474,2.03683,1.4937,1.54457,0.6491,0.47455,0.52909,0.2407,2.22248,1.48663,1.74472,0.00145796,0.00145796,0.00145796
21,191.44,2.04738,1.49111,1.56885,0.67422,0.44116,0.50243,0.21732,2.2291,1.56066,1.74833,0.00144696,0.00144696,0.00144696
22,200.421,2.03905,1.47949,1.54256,0.72906,0.52326,0.58472,0.28022,2.19669,1.53176,1.73268,0.00143595,0.00143595,0.00143595
23,209.472,2.01477,1.45326,1.55028,0.56134,0.53902,0.5526,0.27153,2.16723,1.53469,1.75854,0.00142495,0.00142495,0.00142495
